date,steps
"05-02-2017  12:00:00 AM","0"
"05-02-2017  12:05:00 AM","0"
"05-02-2017  12:10:00 AM","0"
"05-02-2017  12:15:00 AM","0"
"05-02-2017  12:20:00 AM","0"
"05-02-2017  12:25:00 AM","0"
"05-02-2017  12:30:00 AM","0"
"05-02-2017  12:35:00 AM","0"
"05-02-2017  12:40:00 AM","0"
"05-02-2017  12:45:00 AM","0"
"05-02-2017  12:50:00 AM","8"
"05-02-2017  12:55:00 AM","24"
"05-02-2017  01:00:00 AM","0"
"05-02-2017  01:05:00 AM","0"
"05-02-2017  01:10:00 AM","0"
"05-02-2017  01:15:00 AM","0"
"05-02-2017  01:20:00 AM","0"
"05-02-2017  01:25:00 AM","9"
"05-02-2017  01:30:00 AM","5"
"05-02-2017  01:35:00 AM","32"
"05-02-2017  01:40:00 AM","0"
"05-02-2017  01:45:00 AM","16"
"05-02-2017  01:50:00 AM","0"
"05-02-2017  01:55:00 AM","0"
"05-02-2017  02:00:00 AM","0"
"05-02-2017  02:05:00 AM","0"
"05-02-2017  02:10:00 AM","0"
"05-02-2017  02:15:00 AM","0"
"05-02-2017  02:20:00 AM","0"
"05-02-2017  02:25:00 AM","0"
"05-02-2017  02:30:00 AM","0"
"05-02-2017  02:35:00 AM","0"
"05-02-2017  02:40:00 AM","0"
"05-02-2017  02:45:00 AM","0"
"05-02-2017  02:50:00 AM","0"
"05-02-2017  02:55:00 AM","0"
"05-02-2017  03:00:00 AM","0"
"05-02-2017  03:05:00 AM","0"
"05-02-2017  03:10:00 AM","0"
"05-02-2017  03:15:00 AM","0"
"05-02-2017  03:20:00 AM","0"
"05-02-2017  03:25:00 AM","0"
"05-02-2017  03:30:00 AM","0"
"05-02-2017  03:35:00 AM","0"
"05-02-2017  03:40:00 AM","0"
"05-02-2017  03:45:00 AM","0"
"05-02-2017  03:50:00 AM","0"
"05-02-2017  03:55:00 AM","0"
"05-02-2017  04:00:00 AM","0"
"05-02-2017  04:05:00 AM","0"
"05-02-2017  04:10:00 AM","0"
"05-02-2017  04:15:00 AM","0"
"05-02-2017  04:20:00 AM","0"
"05-02-2017  04:25:00 AM","0"
"05-02-2017  04:30:00 AM","0"
"05-02-2017  04:35:00 AM","0"
"05-02-2017  04:40:00 AM","0"
"05-02-2017  04:45:00 AM","0"
"05-02-2017  04:50:00 AM","0"
"05-02-2017  04:55:00 AM","0"
"05-02-2017  05:00:00 AM","0"
"05-02-2017  05:05:00 AM","0"
"05-02-2017  05:10:00 AM","0"
"05-02-2017  05:15:00 AM","0"
"05-02-2017  05:20:00 AM","0"
"05-02-2017  05:25:00 AM","0"
"05-02-2017  05:30:00 AM","0"
"05-02-2017  05:35:00 AM","0"
"05-02-2017  05:40:00 AM","0"
"05-02-2017  05:45:00 AM","0"
"05-02-2017  05:50:00 AM","0"
"05-02-2017  05:55:00 AM","0"
"05-02-2017  06:00:00 AM","0"
"05-02-2017  06:05:00 AM","0"
"05-02-2017  06:10:00 AM","0"
"05-02-2017  06:15:00 AM","0"
"05-02-2017  06:20:00 AM","0"
"05-02-2017  06:25:00 AM","0"
"05-02-2017  06:30:00 AM","0"
"05-02-2017  06:35:00 AM","0"
"05-02-2017  06:40:00 AM","0"
"05-02-2017  06:45:00 AM","0"
"05-02-2017  06:50:00 AM","0"
"05-02-2017  06:55:00 AM","0"
"05-02-2017  07:00:00 AM","0"
"05-02-2017  07:05:00 AM","0"
"05-02-2017  07:10:00 AM","0"
"05-02-2017  07:15:00 AM","0"
"05-02-2017  07:20:00 AM","0"
"05-02-2017  07:25:00 AM","0"
"05-02-2017  07:30:00 AM","86"
"05-02-2017  07:35:00 AM","0"
"05-02-2017  07:40:00 AM","56"
"05-02-2017  07:45:00 AM","167"
"05-02-2017  07:50:00 AM","97"
"05-02-2017  07:55:00 AM","30"
"05-02-2017  08:00:00 AM","20"
"05-02-2017  08:05:00 AM","0"
"05-02-2017  08:10:00 AM","0"
"05-02-2017  08:15:00 AM","43"
"05-02-2017  08:20:00 AM","254"
"05-02-2017  08:25:00 AM","7"
"05-02-2017  08:30:00 AM","0"
"05-02-2017  08:35:00 AM","25"
"05-02-2017  08:40:00 AM","124"
"05-02-2017  08:45:00 AM","0"
"05-02-2017  08:50:00 AM","0"
"05-02-2017  08:55:00 AM","0"
"05-02-2017  09:00:00 AM","0"
"05-02-2017  09:05:00 AM","0"
"05-02-2017  09:10:00 AM","76"
"05-02-2017  09:15:00 AM","134"
"05-02-2017  09:20:00 AM","0"
"05-02-2017  09:25:00 AM","0"
"05-02-2017  09:30:00 AM","0"
"05-02-2017  09:35:00 AM","0"
"05-02-2017  09:40:00 AM","0"
"05-02-2017  09:45:00 AM","0"
"05-02-2017  09:50:00 AM","213"
"05-02-2017  09:55:00 AM","0"
"05-02-2017  10:00:00 AM","0"
"05-02-2017  10:05:00 AM","0"
"05-02-2017  10:10:00 AM","0"
"05-02-2017  10:15:00 AM","0"
"05-02-2017  10:20:00 AM","0"
"05-02-2017  10:25:00 AM","0"
"05-02-2017  10:30:00 AM","0"
"05-02-2017  10:35:00 AM","0"
"05-02-2017  10:40:00 AM","0"
"05-02-2017  10:45:00 AM","0"
"05-02-2017  10:50:00 AM","0"
"05-02-2017  10:55:00 AM","0"
"05-02-2017  11:00:00 AM","0"
"05-02-2017  11:05:00 AM","0"
"05-02-2017  11:10:00 AM","126"
"05-02-2017  11:15:00 AM","0"
"05-02-2017  11:20:00 AM","59"
"05-02-2017  11:25:00 AM","70"
"05-02-2017  11:30:00 AM","113"
"05-02-2017  11:35:00 AM","0"
"05-02-2017  11:40:00 AM","0"
"05-02-2017  11:45:00 AM","0"
"05-02-2017  11:50:00 AM","0"
"05-02-2017  11:55:00 AM","4"
"05-02-2017  12:00:00 PM","0"
"05-02-2017  12:05:00 PM","157"
"05-02-2017  12:10:00 PM","0"
"05-02-2017  12:15:00 PM","63"
"05-02-2017  12:20:00 PM","70"
"05-02-2017  12:25:00 PM","0"
"05-02-2017  12:30:00 PM","7"
"05-02-2017  12:35:00 PM","55"
"05-02-2017  12:40:00 PM","24"
"05-02-2017  12:45:00 PM","117"
"05-02-2017  12:50:00 PM","0"
"05-02-2017  12:55:00 PM","0"
"05-02-2017  01:00:00 PM","0"
"05-02-2017  01:05:00 PM","0"
"05-02-2017  01:10:00 PM","0"
"05-02-2017  01:15:00 PM","0"
"05-02-2017  01:20:00 PM","0"
"05-02-2017  01:25:00 PM","0"
"05-02-2017  01:30:00 PM","0"
"05-02-2017  01:35:00 PM","0"
"05-02-2017  01:40:00 PM","0"
"05-02-2017  01:45:00 PM","0"
"05-02-2017  01:50:00 PM","0"
"05-02-2017  01:55:00 PM","0"
"05-02-2017  02:00:00 PM","0"
"05-02-2017  02:05:00 PM","0"
"05-02-2017  02:10:00 PM","0"
"05-02-2017  02:15:00 PM","0"
"05-02-2017  02:20:00 PM","0"
"05-02-2017  02:25:00 PM","0"
"05-02-2017  02:30:00 PM","0"
"05-02-2017  02:35:00 PM","0"
"05-02-2017  02:40:00 PM","0"
"05-02-2017  02:45:00 PM","0"
"05-02-2017  02:50:00 PM","0"
"05-02-2017  02:55:00 PM","0"
"05-02-2017  03:00:00 PM","0"
"05-02-2017  03:05:00 PM","4"
"05-02-2017  03:10:00 PM","0"
"05-02-2017  03:15:00 PM","84"
"05-02-2017  03:20:00 PM","27"
"05-02-2017  03:25:00 PM","0"
"05-02-2017  03:30:00 PM","161"
"05-02-2017  03:35:00 PM","0"
"05-02-2017  03:40:00 PM","0"
"05-02-2017  03:45:00 PM","0"
"05-02-2017  03:50:00 PM","0"
"05-02-2017  03:55:00 PM","0"
"05-02-2017  04:00:00 PM","0"
"05-02-2017  04:05:00 PM","0"
"05-02-2017  04:10:00 PM","0"
"05-02-2017  04:15:00 PM","0"
"05-02-2017  04:20:00 PM","127"
"05-02-2017  04:25:00 PM","0"
"05-02-2017  04:30:00 PM","0"
"05-02-2017  04:35:00 PM","36"
"05-02-2017  04:40:00 PM","219"
"05-02-2017  04:45:00 PM","36"
"05-02-2017  04:50:00 PM","0"
"05-02-2017  04:55:00 PM","0"
"05-02-2017  05:00:00 PM","71"
"05-02-2017  05:05:00 PM","0"
"05-02-2017  05:10:00 PM","72"
"05-02-2017  05:15:00 PM","0"
"05-02-2017  05:20:00 PM","9"
"05-02-2017  05:25:00 PM","26"
"05-02-2017  05:30:00 PM","0"
"05-02-2017  05:35:00 PM","0"
"05-02-2017  05:40:00 PM","8"
"05-02-2017  05:45:00 PM","55"
"05-02-2017  05:50:00 PM","117"
"05-02-2017  05:55:00 PM","108"
"05-02-2017  06:00:00 PM","14"
"05-02-2017  06:05:00 PM","0"
"05-02-2017  06:10:00 PM","0"
"05-02-2017  06:15:00 PM","0"
"05-02-2017  06:20:00 PM","15"
"05-02-2017  06:25:00 PM","63"
"05-02-2017  06:30:00 PM","272"
"05-02-2017  06:35:00 PM","820"
"05-02-2017  06:40:00 PM","561"
"05-02-2017  06:45:00 PM","58"
"05-02-2017  06:50:00 PM","188"
"05-02-2017  06:55:00 PM","122"
"05-02-2017  07:00:00 PM","63"
"05-02-2017  07:05:00 PM","146"
"05-02-2017  07:10:00 PM","111"
"05-02-2017  07:15:00 PM","47"
"05-02-2017  07:20:00 PM","162"
"05-02-2017  07:25:00 PM","67"
"05-02-2017  07:30:00 PM","72"
"05-02-2017  07:35:00 PM","32"
"05-02-2017  07:40:00 PM","155"
"05-02-2017  07:45:00 PM","111"
"05-02-2017  07:50:00 PM","250"
"05-02-2017  07:55:00 PM","169"
"05-02-2017  08:00:00 PM","125"
"05-02-2017  08:05:00 PM","153"
"05-02-2017  08:10:00 PM","134"
"05-02-2017  08:15:00 PM","20"
"05-02-2017  08:20:00 PM","0"
"05-02-2017  08:25:00 PM","54"
"05-02-2017  08:35:00 PM","78"
"05-02-2017  08:40:00 PM","78"
"05-02-2017  08:45:00 PM","0"
"05-02-2017  08:50:00 PM","5"
"05-02-2017  08:55:00 PM","28"
"05-02-2017  09:00:00 PM","0"
"05-02-2017  09:05:00 PM","18"
"05-02-2017  09:10:00 PM","80"
"05-02-2017  09:15:00 PM","0"
"05-02-2017  09:20:00 PM","40"
"05-02-2017  09:25:00 PM","24"
"05-02-2017  09:30:00 PM","13"
"05-02-2017  09:35:00 PM","6"
"05-02-2017  09:40:00 PM","8"
"05-02-2017  09:45:00 PM","0"
"05-02-2017  09:50:00 PM","27"
"05-02-2017  09:55:00 PM","0"
"05-02-2017  10:00:00 PM","0"
"05-02-2017  10:05:00 PM","0"
"05-02-2017  10:10:00 PM","0"
"05-02-2017  10:15:00 PM","0"
"05-02-2017  10:20:00 PM","12"
"05-02-2017  10:25:00 PM","0"
"05-02-2017  10:30:00 PM","0"
"05-02-2017  10:35:00 PM","0"
"05-02-2017  10:40:00 PM","0"
"05-02-2017  10:45:00 PM","9"
"05-02-2017  10:50:00 PM","0"
"05-02-2017  10:55:00 PM","0"
"05-02-2017  11:00:00 PM","0"
"05-02-2017  11:05:00 PM","0"
"05-02-2017  11:10:00 PM","0"
"05-02-2017  11:15:00 PM","0"
"05-02-2017  11:20:00 PM","0"
"05-02-2017  11:25:00 PM","0"
"05-02-2017  11:30:00 PM","0"
"05-02-2017  11:35:00 PM","0"
"05-02-2017  11:40:00 PM","0"
"05-02-2017  11:45:00 PM","0"
"05-02-2017  11:50:00 PM","0"
"05-02-2017  11:55:00 PM","0"
"05-02-2017  08:30:00 PM","29"
"05-03-2017  12:00:00 AM","0"
"05-03-2017  12:05:00 AM","0"
"05-03-2017  12:10:00 AM","0"
"05-03-2017  12:15:00 AM","0"
"05-03-2017  12:20:00 AM","0"
"05-03-2017  12:25:00 AM","28"
"05-03-2017  12:30:00 AM","0"
"05-03-2017  12:35:00 AM","0"
"05-03-2017  12:40:00 AM","8"
"05-03-2017  12:45:00 AM","0"
"05-03-2017  12:50:00 AM","7"
"05-03-2017  12:55:00 AM","40"
"05-03-2017  01:00:00 AM","0"
"05-03-2017  01:05:00 AM","0"
"05-03-2017  01:10:00 AM","13"
"05-03-2017  01:15:00 AM","0"
"05-03-2017  01:20:00 AM","0"
"05-03-2017  01:25:00 AM","0"
"05-03-2017  01:30:00 AM","0"
"05-03-2017  01:35:00 AM","0"
"05-03-2017  01:40:00 AM","0"
"05-03-2017  01:45:00 AM","0"
"05-03-2017  01:50:00 AM","0"
"05-03-2017  01:55:00 AM","0"
"05-03-2017  02:00:00 AM","0"
"05-03-2017  02:05:00 AM","0"
"05-03-2017  02:10:00 AM","0"
"05-03-2017  02:15:00 AM","0"
"05-03-2017  02:20:00 AM","0"
"05-03-2017  02:25:00 AM","0"
"05-03-2017  02:30:00 AM","0"
"05-03-2017  02:35:00 AM","0"
"05-03-2017  02:40:00 AM","0"
"05-03-2017  02:45:00 AM","0"
"05-03-2017  02:50:00 AM","0"
"05-03-2017  02:55:00 AM","0"
"05-03-2017  03:00:00 AM","0"
"05-03-2017  03:05:00 AM","0"
"05-03-2017  03:10:00 AM","0"
"05-03-2017  03:15:00 AM","0"
"05-03-2017  03:20:00 AM","0"
"05-03-2017  03:25:00 AM","0"
"05-03-2017  03:30:00 AM","0"
"05-03-2017  03:35:00 AM","0"
"05-03-2017  03:40:00 AM","0"
"05-03-2017  03:45:00 AM","0"
"05-03-2017  03:50:00 AM","0"
"05-03-2017  03:55:00 AM","0"
"05-03-2017  04:00:00 AM","0"
"05-03-2017  04:05:00 AM","0"
"05-03-2017  04:10:00 AM","0"
"05-03-2017  04:15:00 AM","0"
"05-03-2017  04:20:00 AM","0"
"05-03-2017  04:25:00 AM","0"
"05-03-2017  04:30:00 AM","0"
"05-03-2017  04:35:00 AM","0"
"05-03-2017  04:40:00 AM","0"
"05-03-2017  04:45:00 AM","0"
"05-03-2017  04:50:00 AM","0"
"05-03-2017  04:55:00 AM","0"
"05-03-2017  05:00:00 AM","0"
"05-03-2017  05:05:00 AM","0"
"05-03-2017  05:10:00 AM","0"
"05-03-2017  05:15:00 AM","0"
"05-03-2017  05:20:00 AM","0"
"05-03-2017  05:25:00 AM","0"
"05-03-2017  05:30:00 AM","0"
"05-03-2017  05:35:00 AM","0"
"05-03-2017  05:40:00 AM","0"
"05-03-2017  05:45:00 AM","0"
"05-03-2017  05:50:00 AM","0"
"05-03-2017  05:55:00 AM","0"
"05-03-2017  06:00:00 AM","0"
"05-03-2017  06:05:00 AM","0"
"05-03-2017  06:10:00 AM","0"
"05-03-2017  06:15:00 AM","0"
"05-03-2017  06:20:00 AM","19"
"05-03-2017  06:25:00 AM","0"
"05-03-2017  06:30:00 AM","0"
"05-03-2017  06:35:00 AM","0"
"05-03-2017  06:40:00 AM","0"
"05-03-2017  06:45:00 AM","0"
"05-03-2017  06:50:00 AM","0"
"05-03-2017  06:55:00 AM","0"
"05-03-2017  07:00:00 AM","0"
"05-03-2017  07:05:00 AM","0"
"05-03-2017  07:10:00 AM","0"
"05-03-2017  07:15:00 AM","0"
"05-03-2017  07:20:00 AM","0"
"05-03-2017  07:25:00 AM","0"
"05-03-2017  07:30:00 AM","18"
"05-03-2017  07:35:00 AM","0"
"05-03-2017  07:40:00 AM","0"
"05-03-2017  07:45:00 AM","0"
"05-03-2017  07:50:00 AM","0"
"05-03-2017  07:55:00 AM","7"
"05-03-2017  08:00:00 AM","0"
"05-03-2017  08:05:00 AM","36"
"05-03-2017  08:10:00 AM","168"
"05-03-2017  08:15:00 AM","172"
"05-03-2017  08:20:00 AM","0"
"05-03-2017  08:25:00 AM","154"
"05-03-2017  08:30:00 AM","78"
"05-03-2017  08:35:00 AM","0"
"05-03-2017  08:40:00 AM","0"
"05-03-2017  08:45:00 AM","117"
"05-03-2017  08:50:00 AM","0"
"05-03-2017  08:55:00 AM","0"
"05-03-2017  09:00:00 AM","0"
"05-03-2017  09:05:00 AM","0"
"05-03-2017  09:10:00 AM","0"
"05-03-2017  09:15:00 AM","0"
"05-03-2017  09:20:00 AM","0"
"05-03-2017  09:25:00 AM","0"
"05-03-2017  09:30:00 AM","0"
"05-03-2017  09:35:00 AM","0"
"05-03-2017  09:40:00 AM","0"
"05-03-2017  09:45:00 AM","0"
"05-03-2017  09:50:00 AM","0"
"05-03-2017  09:55:00 AM","0"
"05-03-2017  10:00:00 AM","0"
"05-03-2017  10:05:00 AM","0"
"05-03-2017  10:10:00 AM","0"
"05-03-2017  10:15:00 AM","0"
"05-03-2017  10:20:00 AM","0"
"05-03-2017  10:25:00 AM","0"
"05-03-2017  10:30:00 AM","0"
"05-03-2017  10:35:00 AM","0"
"05-03-2017  10:40:00 AM","0"
"05-03-2017  10:45:00 AM","0"
"05-03-2017  10:50:00 AM","0"
"05-03-2017  10:55:00 AM","0"
"05-03-2017  11:00:00 AM","0"
"05-03-2017  11:05:00 AM","0"
"05-03-2017  11:10:00 AM","0"
"05-03-2017  11:15:00 AM","0"
"05-03-2017  11:20:00 AM","0"
"05-03-2017  11:25:00 AM","0"
"05-03-2017  11:30:00 AM","0"
"05-03-2017  11:35:00 AM","0"
"05-03-2017  11:40:00 AM","0"
"05-03-2017  11:45:00 AM","0"
"05-03-2017  11:50:00 AM","0"
"05-03-2017  11:55:00 AM","0"
"05-03-2017  12:00:00 PM","0"
"05-03-2017  12:05:00 PM","0"
"05-03-2017  12:10:00 PM","0"
"05-03-2017  12:15:00 PM","0"
"05-03-2017  12:20:00 PM","0"
"05-03-2017  12:25:00 PM","0"
"05-03-2017  12:30:00 PM","0"
"05-03-2017  12:35:00 PM","0"
"05-03-2017  12:40:00 PM","0"
"05-03-2017  12:45:00 PM","0"
"05-03-2017  12:50:00 PM","0"
"05-03-2017  12:55:00 PM","0"
"05-03-2017  01:00:00 PM","0"
"05-03-2017  01:05:00 PM","0"
"05-03-2017  01:10:00 PM","0"
"05-03-2017  01:15:00 PM","0"
"05-03-2017  01:20:00 PM","0"
"05-03-2017  01:25:00 PM","0"
"05-03-2017  01:30:00 PM","0"
"05-03-2017  01:35:00 PM","0"
"05-03-2017  01:40:00 PM","0"
"05-03-2017  01:45:00 PM","0"
"05-03-2017  01:50:00 PM","0"
"05-03-2017  01:55:00 PM","0"
"05-03-2017  02:00:00 PM","0"
"05-03-2017  02:05:00 PM","0"
"05-03-2017  02:10:00 PM","0"
"05-03-2017  02:15:00 PM","0"
"05-03-2017  02:20:00 PM","0"
"05-03-2017  02:25:00 PM","0"
"05-03-2017  02:30:00 PM","0"
"05-03-2017  02:35:00 PM","0"
"05-03-2017  02:40:00 PM","0"
"05-03-2017  02:45:00 PM","0"
"05-03-2017  02:50:00 PM","0"
"05-03-2017  02:55:00 PM","0"
"05-03-2017  03:00:00 PM","0"
"05-03-2017  03:05:00 PM","0"
"05-03-2017  03:10:00 PM","0"
"05-03-2017  03:15:00 PM","0"
"05-03-2017  03:20:00 PM","0"
"05-03-2017  03:25:00 PM","0"
"05-03-2017  03:30:00 PM","0"
"05-03-2017  03:35:00 PM","0"
"05-03-2017  03:40:00 PM","0"
"05-03-2017  03:45:00 PM","0"
"05-03-2017  03:50:00 PM","0"
"05-03-2017  03:55:00 PM","0"
"05-03-2017  04:00:00 PM","0"
"05-03-2017  04:05:00 PM","0"
"05-03-2017  04:10:00 PM","0"
"05-03-2017  04:15:00 PM","0"
"05-03-2017  04:20:00 PM","0"
"05-03-2017  04:25:00 PM","0"
"05-03-2017  04:30:00 PM","0"
"05-03-2017  04:35:00 PM","0"
"05-03-2017  04:40:00 PM","0"
"05-03-2017  04:45:00 PM","0"
"05-03-2017  04:50:00 PM","0"
"05-03-2017  04:55:00 PM","0"
"05-03-2017  05:00:00 PM","0"
"05-03-2017  05:05:00 PM","0"
"05-03-2017  05:10:00 PM","0"
"05-03-2017  05:15:00 PM","0"
"05-03-2017  05:20:00 PM","0"
"05-03-2017  05:25:00 PM","0"
"05-03-2017  05:30:00 PM","0"
"05-03-2017  05:35:00 PM","0"
"05-03-2017  05:40:00 PM","0"
"05-03-2017  05:45:00 PM","0"
"05-03-2017  05:50:00 PM","0"
"05-03-2017  05:55:00 PM","0"
"05-03-2017  06:00:00 PM","0"
"05-03-2017  06:05:00 PM","0"
"05-03-2017  06:10:00 PM","0"
"05-03-2017  06:15:00 PM","0"
"05-03-2017  06:20:00 PM","0"
"05-03-2017  06:25:00 PM","0"
"05-03-2017  06:30:00 PM","0"
"05-03-2017  06:35:00 PM","0"
"05-03-2017  06:40:00 PM","0"
"05-03-2017  06:45:00 PM","0"
"05-03-2017  06:50:00 PM","0"
"05-03-2017  06:55:00 PM","0"
"05-03-2017  07:00:00 PM","0"
"05-03-2017  07:05:00 PM","0"
"05-03-2017  07:10:00 PM","0"
"05-03-2017  07:15:00 PM","0"
"05-03-2017  07:20:00 PM","0"
"05-03-2017  07:25:00 PM","0"
"05-03-2017  07:30:00 PM","0"
"05-03-2017  07:35:00 PM","0"
"05-03-2017  07:40:00 PM","0"
"05-03-2017  07:45:00 PM","0"
"05-03-2017  07:50:00 PM","0"
"05-03-2017  07:55:00 PM","0"
"05-03-2017  08:00:00 PM","0"
"05-03-2017  08:05:00 PM","0"
"05-03-2017  08:10:00 PM","0"
"05-03-2017  08:15:00 PM","0"
"05-03-2017  08:20:00 PM","0"
"05-03-2017  08:25:00 PM","0"
"05-03-2017  08:30:00 PM","0"
"05-03-2017  08:35:00 PM","0"
"05-03-2017  08:40:00 PM","0"
"05-03-2017  08:45:00 PM","0"
"05-03-2017  08:50:00 PM","0"
"05-03-2017  08:55:00 PM","0"
"05-03-2017  09:00:00 PM","0"
"05-03-2017  09:05:00 PM","0"
"05-03-2017  09:10:00 PM","0"
"05-03-2017  09:15:00 PM","0"
"05-03-2017  09:20:00 PM","0"
"05-03-2017  09:25:00 PM","0"
"05-03-2017  09:30:00 PM","0"
"05-03-2017  09:35:00 PM","0"
"05-03-2017  09:40:00 PM","0"
"05-03-2017  09:45:00 PM","0"
"05-03-2017  09:50:00 PM","0"
"05-03-2017  09:55:00 PM","0"
"05-03-2017  10:00:00 PM","0"
"05-03-2017  10:05:00 PM","0"
"05-03-2017  10:10:00 PM","0"
"05-03-2017  10:15:00 PM","0"
"05-03-2017  10:20:00 PM","0"
"05-03-2017  10:25:00 PM","0"
"05-03-2017  10:30:00 PM","0"
"05-03-2017  10:35:00 PM","0"
"05-03-2017  10:40:00 PM","0"
"05-03-2017  10:45:00 PM","0"
"05-03-2017  10:50:00 PM","0"
"05-03-2017  10:55:00 PM","0"
"05-03-2017  11:00:00 PM","0"
"05-03-2017  11:05:00 PM","0"
"05-03-2017  11:10:00 PM","0"
"05-03-2017  11:15:00 PM","0"
"05-03-2017  11:20:00 PM","0"
"05-03-2017  11:25:00 PM","0"
"05-03-2017  11:30:00 PM","0"
"05-03-2017  11:35:00 PM","0"
"05-03-2017  11:40:00 PM","0"
"05-03-2017  11:45:00 PM","0"
"05-03-2017  11:50:00 PM","0"
"05-03-2017  11:55:00 PM","0"
